GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
foodapp,eu.food.model,Constants,3,0,0,0,1,0,1,0,1,0
foodapp,eu.food.model,Transaction,12,19,0,0,4,2,4,5,4,5
foodapp,eu.food.model,ResponseBody,0,31,0,0,0,6,0,9,0,9
foodapp,eu.food.controller,ProductController,5,3,0,0,1,1,1,1,1,1
foodapp,eu.food.controller,HealthController,2,3,0,0,1,1,1,1,1,1
foodapp,eu.food.controller,OrderController,14,3,0,0,3,1,3,1,3,1
foodapp,eu.food.exception,GlobalExceptionHandler,23,3,0,0,7,1,2,1,2,1
foodapp,eu.food.service.impl,ProductServiceImpl,0,49,0,4,0,13,0,4,0,2
foodapp,eu.food.service.impl,OrderServiceImpl,8,152,0,6,3,40,0,7,0,4
foodapp,eu.food.dto,OrderDtoRequest,0,17,0,0,0,4,0,5,0,5
foodapp,eu.food.dto,OrderItemDtoRequest,0,17,0,0,0,4,0,5,0,5
foodapp,eu.food.dto,OrderDto,12,19,0,0,4,2,4,5,4,5
foodapp,eu.food.dto,ProductDto,15,23,0,0,5,2,5,6,5,6
foodapp,eu.food.dto,OrderItemDto,9,15,0,0,3,2,3,4,3,4
foodapp,eu.food.utils,Utils,3,6,0,0,1,1,1,1,1,1
foodapp,eu.food.entity,Vendor,21,10,0,0,3,3,6,3,6,3
foodapp,eu.food.entity,OrderProduct,10,21,0,0,2,4,3,6,3,6
foodapp,eu.food.entity,Orders,7,31,0,0,1,6,2,9,2,9
foodapp,eu.food.entity,Product,22,30,0,0,2,7,6,9,6,9
foodapp,eu.food,FoodApplication,5,3,0,0,2,1,1,1,1,1
